date,Last
2021-01-11 01:30:00,37701.41
2021-01-11 02:00:00,37237.67
2021-01-11 02:30:00,36650.97
2021-01-11 03:00:00,36363.93
2021-01-11 03:30:00,35343.3
2021-01-11 04:00:00,35438.23
2021-01-11 04:30:00,34684.39
2021-01-11 05:00:00,35542.92
2021-01-11 05:30:00,35636.35
2021-01-11 06:00:00,34904.73
2021-01-11 06:30:00,34332.3
2021-01-11 07:00:00,32843.26
2021-01-11 07:30:00,33725.05
2021-01-11 08:00:00,34372.25
2021-01-11 08:30:00,35272.14
2021-01-11 09:00:00,35430.0
2021-01-11 09:30:00,35551.48
2021-01-11 10:00:00,35765.98
2021-01-11 10:30:00,35703.22
2021-01-11 11:00:00,35368.81
2021-01-11 11:30:00,34606.06
2021-01-11 12:00:00,34198.55
2021-01-11 12:30:00,34873.99
2021-01-11 13:00:00,34273.49
2021-01-11 13:30:00,33397.16
2021-01-11 14:00:00,32808.92
2021-01-11 14:30:00,33102.8
2021-01-11 15:00:00,33291.56
2021-01-11 15:30:00,32659.8
2021-01-11 16:00:00,31582.82
2021-01-11 16:30:00,31149.77
2021-01-11 17:00:00,31771.77
2021-01-11 17:30:00,32609.52
2021-01-11 18:00:00,32848.96
2021-01-11 18:30:00,33000.0
2021-01-11 19:00:00,32562.1
2021-01-11 19:30:00,31389.57
2021-01-11 20:00:00,32254.63
2021-01-11 20:30:00,31793.04
2021-01-11 21:00:00,33410.75
2021-01-11 21:30:00,34430.6
2021-01-11 22:00:00,33962.22
2021-01-11 22:30:00,34633.23
2021-01-11 23:00:00,34361.16
2021-01-11 23:30:00,35066.19
2021-01-12 00:00:00,35410.37
2021-01-12 00:30:00,34576.17
2021-01-12 01:00:00,34929.99
2021-01-12 01:30:00,34965.04
2021-01-12 02:00:00,34289.3
2021-01-12 02:30:00,33886.17
2021-01-12 03:00:00,34400.0
2021-01-12 03:30:00,34969.72
2021-01-12 04:00:00,34984.95
2021-01-12 04:30:00,34921.33
2021-01-12 05:00:00,35284.05
2021-01-12 05:30:00,35100.0
2021-01-12 06:00:00,35882.68
2021-01-12 06:30:00,36222.7
2021-01-12 07:00:00,35998.56
2021-01-12 07:30:00,35813.54
